Sample	Obs.Phenotype	Pred.Phenotype
Sample16	98.83333333	92.8532285475826
Sample17	104	92.5192925981464
Sample18	101.6666667	97.223610298962
Sample19	103.4444444	89.9910969525213
Sample20	90.91666667	92.5446629698237
Sample51	114.6666667	106.652292798798
Sample52	98.08333333	97.5381779735917
Sample53	93.25	92.5446629698237
Sample54	90.5	98.1037990448992
Sample55	100.75	101.516860368507
Sample56	108.1666667	101.229155333552
Sample57	91.41666667	88.3863906358336
Sample58	99.33333333	92.5910091050096
Sample59	87.66666667	96.7199945751065
Sample74	88.25	86.6658497952059
Sample75	83.91666667	80.5164738599999
Sample76	104.3	101.217390505724
Sample77	98.375	101.038340622384
Sample78	83.83333333	100.310015807412
Sample79	90.16666667	92.5446629698237
Sample80	84.11111111	88.9392753899058
Sample81	86.16666667	94.3639986715403
Sample100	107.1111111	102.505810229343
Sample101	92	82.8966148066766
Sample103	92.75	89.9922477089848
Sample104	100	99.2944434249173
Sample105	81.25	85.496278127283
Sample106	88.83333333	80.1525026862253
Sample107	87.75	80.1525026862253
Sample108	80.77777778	88.5221625981953
Sample109	104.8333333	104.183734204552
Sample110	81.6	81.5773744662671
Sample124	104	99.9930630354084
Sample125	83.7	87.8058709954125
Sample126	90.4	89.9183647337023
Sample127	83.16666667	88.2532862415715
Sample128	84.25	86.1929430418585
Sample129	76.91666667	68.0777806085609
Sample130	82.5	79.7316660563695
Sample148	88	85.2604117712737
Sample149	71.83333333	74.3722456366109
Sample150	79.41666667	76.6587012636836
Sample151	107.2222222	84.3329832937277
Sample152	107.3333333	92.5192925981464
Sample153	94	92.5446629698237
Sample154	83.75	83.9856706670043
Sample189	72.66666667	68.6067872332613
Sample190	79.75	92.4578363034179
Sample191	86.08333333	92.5446629698237
Sample196	66.66666667	62.441395201409
