Sample	Obs.Phenotype	Pred.Phenotype
Sample16	98.83333333	99.9522893788911
Sample17	104	92.7588737762708
Sample18	101.6666667	97.0574318790257
Sample19	103.4444444	86.7375958685488
Sample20	90.91666667	91.6760526163111
Sample51	114.6666667	106.342981609391
Sample52	98.08333333	87.398542417828
Sample53	93.25	89.9134326775032
Sample54	90.5	97.3641145347488
Sample55	100.75	101.389986812844
Sample56	108.1666667	96.6958824800888
Sample57	91.41666667	87.7893867822777
Sample58	99.33333333	92.8573328831453
Sample59	87.66666667	93.8909925986699
Sample74	88.25	88.577926661579
Sample75	83.91666667	76.2070042689843
Sample76	104.3	100.324165507702
Sample77	98.375	98.2775007085497
Sample78	83.83333333	99.152046228534
Sample79	90.16666667	93.3835568687736
Sample80	84.11111111	86.0779169908392
Sample81	86.16666667	93.2277146747705
Sample100	107.1111111	97.7811269794865
Sample101	92	85.4822361857429
Sample103	92.75	92.9770037694722
Sample104	100	98.4396741694767
Sample105	81.25	80.6657506480611
Sample106	88.83333333	87.9088363630043
Sample107	87.75	80.8274396543275
Sample108	80.77777778	85.7032727813741
Sample109	104.8333333	104.619071888885
Sample110	81.6	82.5436742238404
Sample124	104	99.8447797769443
Sample125	83.7	86.2115420981187
Sample126	90.4	87.1531689010644
Sample127	83.16666667	91.2486151381542
Sample128	84.25	83.871004330409
Sample129	76.91666667	68.9730062644452
Sample130	82.5	86.9613440037253
Sample148	88	91.5806923274804
Sample149	71.83333333	71.5936254996265
Sample150	79.41666667	78.3974426533037
Sample151	107.2222222	84.6893186113471
Sample152	107.3333333	94.8824003841556
Sample153	94	95.250462227889
Sample154	83.75	74.5388766250576
Sample189	72.66666667	72.5942618026855
Sample190	79.75	85.1910396053564
Sample191	86.08333333	91.7026623102573
Sample196	66.66666667	67.8508286295723
